id,timestamp,amount,type,category,description,account_balance,business_type,tags
TXN-79F5A3AD1634,2026-03-01T02:22:00,2999.0,DEBIT,subscriptions,Shopify subscription,297408.71,retailer,"subscription,recurring"
TXN-410242D02BED,2026-03-01T10:44:00,45774.86,DEBIT,rent,Rent - Mar 2026,423952.09,retailer,"recurring,fixed_cost"
TXN-65C8B2D31C38,2026-03-05T10:00:00,1800.47,DEBIT,pos_fees,Pos Fees - Mar 2026,300407.71,retailer,"recurring,fixed_cost"
TXN-2AEBE814C7B2,2026-03-10T00:08:00,1499.0,DEBIT,subscriptions,QuickBooks subscription,295909.71,retailer,"subscription,recurring"
TXN-C3828BF9957A,2026-03-15T10:38:00,3494.34,DEBIT,insurance,Insurance - Mar 2026,302208.18,retailer,"recurring,fixed_cost"
TXN-61B41FF82EF8,2026-03-20T05:23:00,799.0,DEBIT,subscriptions,Slack subscription,295110.71,retailer,"subscription,recurring"
TXN-C808538AB746,2026-03-25T03:15:00,1200.0,DEBIT,subscriptions,Google Workspace subscription,293910.71,retailer,"subscription,recurring"
TXN-DD8F2AD19F4E,2026-03-28T08:10:14,181.34,CREDIT,bulk_order,Wholesale order,303245.99,retailer,"sale,peak_day"
TXN-A88280C6E646,2026-03-28T08:32:08,364.41,CREDIT,bulk_order,Bulk purchase - B2B,297275.63,retailer,"sale,peak_day"
TXN-1715F4999CD7,2026-03-28T08:35:24,406.74,CREDIT,returns_received,Return from vendor,306944.54,retailer,"sale,peak_day"
TXN-DBAB7F99477D,2026-03-28T08:44:22,462.24,CREDIT,online_sales,Online cart,299417.36,retailer,"sale,peak_day"
TXN-3FC4144EB13E,2026-03-28T08:51:14,226.58,CREDIT,returns_received,Supplier credit note,300732.65,retailer,"sale,peak_day"
TXN-D8C2A31B7AF1,2026-03-28T08:56:58,112.25,CREDIT,returns_received,Return from vendor,306537.8,retailer,"sale,peak_day"
TXN-8AA0E52CFC3F,2026-03-28T10:35:15,722.0,CREDIT,bulk_order,Bulk purchase - B2B,297997.63,retailer,"sale,peak_day"
TXN-84C22E837E18,2026-03-28T10:53:31,546.77,CREDIT,bulk_order,Wholesale order,300506.07,retailer,"sale,peak_day"
TXN-10705B0D0E87,2026-03-28T11:08:00,118249.57,DEBIT,salaries,Salaries - Mar 2026,305702.52,retailer,"recurring,fixed_cost"
TXN-A8979D13DF55,2026-03-28T11:18:15,106.73,CREDIT,product_sales,Counter sale,301491.9,retailer,"sale,peak_day"
TXN-082FD312F7B3,2026-03-28T11:19:00,711.8,DEBIT,inventory_purchase,Stock order #TXN-15B3,305883.43,retailer,"expense,inventory_order"
TXN-853AA8842830,2026-03-28T11:54:36,562.2,CREDIT,product_sales,Walk-in customer,304068.3,retailer,"sale,peak_day"
TXN-791F445467DA,2026-03-28T11:55:25,293.01,CREDIT,product_sales,In-store sales,296024.13,retailer,"sale,peak_day"
TXN-441046ABFDCA,2026-03-28T12:09:39,113.27,CREDIT,online_sales,Website checkout,307057.81,retailer,"sale,peak_day"
TXN-8EAE91868240,2026-03-28T12:33:17,454.14,CREDIT,returns_received,Return from vendor,298612.37,retailer,"sale,peak_day"
TXN-B9A2C219F89B,2026-03-28T12:52:31,461.92,CREDIT,returns_received,Supplier credit note,305455.83,retailer,"sale,peak_day"
TXN-94F693921F1B,2026-03-28T13:52:36,243.7,CREDIT,returns_received,Return from vendor,295348.33,retailer,"sale,peak_day"
TXN-E773CCCAAB2C,2026-03-28T14:03:30,560.94,CREDIT,product_sales,Counter sale,302052.84,retailer,"sale,peak_day"
TXN-7E46ED52E4F2,2026-03-28T14:27:39,722.02,CREDIT,product_sales,Walk-in customer,295104.63,retailer,"sale,peak_day"
TXN-FB09B6A0372D,2026-03-28T14:34:14,515.66,CREDIT,bulk_order,Wholesale order,301385.17,retailer,"sale,peak_day"
TXN-F2BCD8B344D8,2026-03-28T14:39:05,311.19,CREDIT,returns_received,Supplier credit note,304993.91,retailer,"sale,peak_day"
TXN-8CDE4740CA2C,2026-03-28T15:40:09,136.86,CREDIT,returns_received,Return from vendor,300869.51,retailer,"sale,peak_day"
TXN-78BBE55394A4,2026-03-28T15:46:11,137.9,CREDIT,bulk_order,Bulk purchase - B2B,305593.73,retailer,"sale,peak_day"
